Product Name,Generic Name,Manufacturer,NDC Code,Therapeutic Area,Indication,Number of Doses,WAC Price (USD),Government Price (340B/VA),Commercial Insurance Price,PAP Available,Prior Authorization Required,Treatment Journey Phase 1 - Pre-Infusion,Treatment Journey Phase 2 - Manufacturing,Treatment Journey Phase 3 - Infusion,Treatment Journey Phase 4 - Post-Infusion,Days from Enrollment to Infusion,Insurance Coverage Types,Copay Assistance Program,REMS Program Required,Specialty Pharmacy Required,Inpatient vs Outpatient
Roctavian,valoctocogene roxaparvovec,BioMarin Pharmaceutical,71843-0001-01,Gene Therapy,Severe Hemophilia A,"Single dose, one-time IV infusion","$2,900,000","$1,740,000 (340B)","Varies, typically $2,600,000-2,900,000",Yes - BioMarin RareConnections,Yes - Prior Authorization required,"Screening: Hemophilia A diagnosis confirmation (Factor VIII <1 IU/dL), anti-AAV5 antibody testing (exclusion criteria if positive), liver function tests, HIV status, hepatitis screening (Days 1-21)","Not applicable - manufactured product; AAV5 vector containing Factor VIII gene; Cold chain maintained during delivery to hemophilia treatment center","Pre-medication: Prednisolone 60mg daily starting 1 day before infusion; Day 0: Roctavian single IV infusion over 1-2 hours at hemophilia treatment center, monitor for infusion reactions, typically outpatient procedure","Post-infusion: Prednisolone taper over 60-90 days based on liver enzymes; Factor VIII levels checked weekly x 12 weeks, then monthly; Liver enzymes monitored weekly x 16 weeks; Long-term: Every 3 months Year 1, then every 6 months; Continue monitoring for immunosuppression duration; Annual evaluations for 15 years",21-28 days from screening,"Medicare Part B, Commercial insurance, Hemophilia Treatment Center funding, State programs",Yes - BioMarin RareConnections Assist,No REMS but long-term registry,Yes - hemophilia treatment centers only,Outpatient infusion at HTC
Luxturna,voretigene neparvovec,Spark Therapeutics/Roche,72501-0001-01,Gene Therapy,Inherited Retinal Disease (RPE65 mutation),"One-time, bilateral subretinal injection (one eye at a time)","$850,000 ($425,000 per eye)","$510,000 (340B) for both eyes","Varies, typically $750,000-850,000 total",Yes - Spark Therapeutics Patient Services,Yes - Prior Authorization required,"Screening: RPE65 mutation confirmation, retinal function testing, visual field assessment, sufficient viable retinal cells (Days 1-30); Surgical planning: Ophthalmology evaluation, anesthesia clearance, immunosuppression planning","Not applicable - manufactured AAV2 vector product with RPE65 gene; Delivered to surgical center in frozen state; Thawed prior to administration","Pre-procedure: Prednisolone 1mg/kg (max 40mg) starting 3 days before surgery; Day 0: Subretinal injection under general anesthesia (vitrectomy approach), one eye treated; Recovery: Outpatient same day typically; Second eye: Treated 6-18 days after first eye with same protocol","Post-procedure monitoring: Eye exams at Day 1, Week 1, Week 2, Month 1, Month 3, Month 6; Continue prednisolone taper over 2 weeks; Vision testing and retinal assessments; Long-term: Annual eye exams, vision monitoring; Immunosuppression typically 1-2 weeks per eye",30-60 days total (including both eyes),"Medicare Part B, Commercial insurance, Medicaid (varies by state), Foundation grants",Yes - Spark Therapeutics Support,No REMS,Yes - specialized ophthalmology centers,Outpatient surgical procedure
Ocrevus,ocrelizumab,Genentech/Roche,50242-0135-01,Multiple Sclerosis,Relapsing MS and Primary Progressive MS,IV infusion every 6 months,"$65,000/year ($32,500 per infusion)","$39,000/year (340B discount)","Varies by plan, typically $58,000-65,000/year",Yes - Genentech Patient Foundation,Yes - Prior Authorization required for most payers,"Pre-infusion screening: JC virus testing, hepatitis B screening, immunoglobulin levels, complete blood count, vaccination status review; Patient education on infusion reactions and PML risk; Schedule infusion appointment","Not applicable - commercially manufactured monoclonal antibody","Initial dosing: 300mg IV infusion (given as two 150mg infusions 2 weeks apart); Pre-medication with methylprednisolone 100mg IV, antihistamine, acetaminophen 30-60 minutes before infusion; Infusion over 2.5-3 hours for first dose, 2 hours for subsequent; Monitor for infusion reactions during and 1 hour post-infusion","Maintenance: 600mg IV every 6 months; Monitor for infusion reactions, infections, immunoglobulin levels every 6 months; Annual MRI brain; Vaccinations: Live vaccines contraindicated; PML monitoring: Any new neurological symptoms require urgent evaluation; B-cell monitoring",Initial infusion visit, then every 6 months ongoing,"Medicare Part B, Commercial insurance, Medicaid (varies), Specialty pharmacy",Yes - Genentech Copay Card up to $15,000/year,No REMS but Risk Evaluation,Yes - specialty infusion pharmacy,Outpatient infusion center
Kesimpta,ofatumumab,Novartis,0078-0882-61,Multiple Sclerosis,Relapsing MS,Self-injection once monthly,"$88,000/year","$52,800/year (340B)","Varies, typically $75,000-88,000/year",Yes - Novartis Patient Assistance,Yes - Prior Authorization required,"Pre-treatment screening: Hepatitis B screening, live vaccine administration (at least 4 weeks before starting), baseline MRI; Patient training on self-injection technique using Sensoready pen","Not applicable - manufactured monoclonal antibody in pre-filled pen","Initial loading doses: Week 0, 1, and 2 (20mg subcutaneous); Weeks 4 and beyond: 20mg subcutaneous once monthly; Self-administered at home with Sensoready autoinjector; Pre-medication not typically required; Injection site reactions common initially","Monthly self-injection at home; Monitor for infections, immunoglobulin levels every 6-12 months; Annual MRI; Hepatitis B reactivation monitoring if risk factors; PML surveillance: Report any new neurological symptoms; Live vaccines contraindicated during treatment; Pneumococcal vaccine recommended",Can start within 1-2 weeks of screening,"Medicare Part D, Commercial insurance, Medicaid (state-dependent), Specialty pharmacy",Yes - Novartis Copay Program,No REMS,Yes - specialty pharmacy dispenses,Self-administered at home (subcutaneous)
Tysabri,natalizumab,Biogen,59075-0730-15,Multiple Sclerosis,Relapsing MS,IV infusion every 4 weeks,"$78,000/year","$46,800/year (340B)","Varies, typically $70,000-78,000/year",Yes - Biogen Support Services,Yes - Prior Authorization required,"Pre-treatment: JC virus antibody testing (critical for PML risk stratification), MRI brain with gadolinium baseline; TOUCH program enrollment (prescriber, patient, infusion center); Patient education on PML risk; Liver function tests","Not applicable - manufactured humanized monoclonal antibody","Infusion: 300mg IV over 1 hour every 4 weeks; No pre-medication typically required; Monitor during infusion and 1 hour post-infusion for hypersensitivity; Must be administered at TOUCH-certified infusion center","Monthly infusions; JC virus antibody testing every 6 months if negative, every 3 months if positive; MRI brain every 6-12 months; PML surveillance: High index of suspicion for any neurological changes; TOUCH program ongoing monitoring; Liver enzyme monitoring periodically",Can start within 1-2 weeks of TOUCH enrollment,"Medicare Part B, Commercial insurance, Medicaid varies, Specialty infusion",Yes - Biogen Copay Program,Yes - TOUCH REMS program mandatory,Yes - TOUCH certified sites only,Outpatient infusion at TOUCH site
Mavenclad,cladribine,EMD Serono,44087-1201-01,Multiple Sclerosis,Relapsing MS,"Two treatment courses (Year 1 and 2), oral tablets","$108,000 for both years","$64,800 (340B) total","Varies, typically $95,000-108,000 total",Yes - EMD Serono Patient Support,Yes - Prior Authorization required,"Pre-treatment: Tuberculosis screening, hepatitis screening, HIV test, complete blood count with differential, pregnancy test (required), baseline MRI; Patient must have active MS and lymphocyte count ≥800 cells/μL; REMS program enrollment","Not applicable - oral tablets manufactured and distributed through specialty pharmacy; Calculated dosing based on body weight","Year 1: One treatment course - typically 10mg or 20mg tablets daily for 4-5 days in Month 1, then repeat in Month 2; Patient takes tablets at home; Year 2: Second treatment course with same dosing schedule in Months 1 and 2; No treatment in Years 3 and 4 (drug effect persists)","Post-treatment monitoring: Complete blood count at 2 and 6 months after each treatment course; MRI annually; Tuberculosis monitoring; Herpes prophylaxis (acyclovir or valacyclovir) during treatment and 2 months after; Live vaccines contraindicated; Pregnancy prevention mandatory (2 forms contraception)",Can start within 2-4 weeks of screening,"Medicare Part D, Commercial insurance, Medicaid (state-dependent), Specialty pharmacy",Yes - EMD Serono Copay Assistance,Yes - Mavenclad REMS (pregnancy prevention),Yes - specialty pharmacy required,Oral medication taken at home
Zeposia,ozanimod,Bristol Myers Squibb,0003-0264-11,Multiple Sclerosis,Relapsing MS,Oral daily capsule,"$98,000/year","$58,800/year (340B)","Varies, typically $85,000-98,000/year",Yes - BMS Access Support,Yes - Prior Authorization required,"Pre-treatment: Cardiac evaluation (ECG, assess for heart block), ophthalmic exam (macular edema screening), complete blood count, liver function tests, hepatitis B/C screening, varicella immunity confirmation; Recent cardiovascular events are contraindications","Not applicable - oral sphingosine-1-phosphate receptor modulator; Manufactured and distributed through specialty pharmacy","Dose escalation: Days 1-4 ozanimod 0.23mg, Days 5-7 ozanimod 0.46mg, Day 8 onwards 0.92mg daily; Escalation reduces cardiac effects; First dose observation not required (unlike fingolimod); Take once daily with or without food; Maintenance: 0.92mg daily continuously","Continue daily dosing; Monitor: Complete blood count every 3 months first year; Liver enzymes periodically; Ophthalmic exam at 3-4 months then as needed; Macular edema surveillance; MRI annually; Skin exams periodically (melanoma risk); Live vaccines: Wait 3 months after stopping before administering",Can start within 1-2 weeks of screening,"Medicare Part D, Commercial insurance, Medicaid (state-dependent), Specialty pharmacy",Yes - BMS Copay Savings Card,No REMS,Yes - specialty pharmacy dispenses,Oral medication taken at home
Mavacamten,mavacamten,Bristol Myers Squibb,0003-4850-11,Cardiology,Obstructive Hypertrophic Cardiomyopathy,Oral daily capsule,"$225,000/year","$135,000/year (340B)","Varies by plan, typically $200,000-225,000/year",Yes - BMS Patient Assistance,Yes - Prior Authorization required,"Pre-treatment: Echocardiogram with LVEF assessment (must be ≥55%), LVOT gradient measurement, cardiac MRI if indicated, pregnancy test (teratogenic), contraception counseling; Mavacamten REMS enrollment required","Not applicable - oral cardiac myosin inhibitor; Distributed only through certified specialty pharmacies enrolled in REMS program","Starting dose: 5mg once daily; Dose adjustments: Echocardiogram at Week 4, 8, 12, then every 12 weeks; Adjust dose (2.5mg, 5mg, 10mg, 15mg) based on LVEF and LVOT gradient; If LVEF <50%, interrupt therapy; Take with or without food same time daily","Ongoing monitoring: Echocardiograms every 12 weeks during maintenance for LVEF and LVOT gradient assessment; Interrupt if LVEF drops below 50%; Drug interactions: Avoid strong/moderate CYP2C19 inhibitors; Pregnancy prevention mandatory (REMS); Continue therapy as long as beneficial and LVEF maintained",Can start within 1-2 weeks of REMS enrollment,"Medicare Part D, Commercial insurance, Specialty cardiology programs",Yes - BMS Copay Support Program,Yes - Mavacamten REMS (pregnancy prevention),Yes - REMS certified specialty pharmacy only,Oral medication at home with echo monitoring
Tafamidis,tafamidis meglumine or free acid,Pfizer,0069-0222-30 (Vyndaqel) / 0069-0232-30 (Vyndamax),Cardiology,Transthyretin Amyloid Cardiomyopathy,Oral daily capsule,"$225,000/year","$135,000/year (340B)","Varies, typically $200,000-225,000/year",Yes - Pfizer Patient Assistance,Yes - Prior Authorization required,"Pre-treatment: Confirm ATTR-CM diagnosis (cardiac biopsy, technetium scan, or genetic testing for hereditary ATTR); Echocardiogram, NT-proBNP, 6-minute walk test, functional class assessment; Biomarker panel baseline","Not applicable - oral TTR stabilizer; Vyndamax (tafamidis 61mg) or Vyndaqel (tafamidis meglumine 80mg - 4 capsules) are therapeutically equivalent","Dosing: Vyndamax 61mg once daily OR Vyndaqel 80mg (four 20mg capsules) once daily; Take consistently same time each day; Can take with or without food; No dose adjustments for renal or hepatic impairment; Continue indefinitely","Ongoing monitoring: Echocardiograms every 6-12 months, NT-proBNP every 3-6 months, 6-minute walk test every 6 months; Functional assessment; Monitor for disease progression; Generally well-tolerated with minimal side effects; Annual comprehensive cardiovascular assessment",Can start within 1-2 weeks of diagnosis confirmation,"Medicare Part D (high cost sharing), Commercial insurance, Specialty pharmacy",Yes - Pfizer Savings Program,No REMS,Yes - specialty pharmacy required,Oral medication taken at home
Entresto,sacubitril/valsartan,Novartis,0078-0699-15,Cardiology,Heart Failure with Reduced Ejection Fraction,Oral twice daily tablet,"$6,600/year","$3,960/year (340B)","Varies, typically $5,500-6,600/year",Yes - Novartis Patient Assistance,Yes - Prior Authorization required for most plans,"Pre-treatment: Baseline blood pressure, renal function, potassium level; Must discontinue ACE inhibitor at least 36 hours before starting (angioedema risk); Assess for history of angioedema","Not applicable - oral ARNI (angiotensin receptor-neprilysin inhibitor); Widely available through retail and specialty pharmacy","Starting dose: Typically 49mg/51mg twice daily (or 24mg/26mg if dose-sensitive); Target dose: 97mg/103mg twice daily; Titrate every 2-4 weeks as tolerated based on BP and renal function; Take with or without food","Ongoing monitoring: Blood pressure, renal function, and potassium within 1-2 weeks of initiation and dose changes; Monitor for hypotension, hyperkalemia, renal dysfunction; Continue indefinitely for heart failure management; Regular cardiology follow-up",Can start immediately after ACE-I washout (36 hours),"Medicare Part D, Commercial insurance, Medicaid, Retail and specialty pharmacy",Yes - Novartis Copay Card,No REMS,No - retail pharmacy available,Oral medication at home
Pluvicto,lutetium-177 PSMA-617,Novartis/Advanced Accelerator Applications,71195-0001-01,Radioligand Therapy,Metastatic Castration-Resistant Prostate Cancer,"6 IV infusions, every 6 weeks","$42,500 per dose, $255,000 for full course","$25,500 per dose (340B), $153,000 full course","Varies, typically $230,000-255,000 for 6 doses",Yes - Novartis Patient Assistance,Yes - Prior Authorization required,"Pre-treatment: PSMA-PET scan to confirm PSMA-positive disease, bone marrow function assessment (adequate platelets, hemoglobin, neutrophils), renal function (eGFR ≥30 mL/min), prior taxane chemotherapy required; Radiation safety counseling","Not applicable - Pluvicto is manufactured radioactive therapeutic; Shipped to authorized treatment centers with nuclear medicine capability; Cold chain and radiation safety protocols","Day 0: Pluvicto 7.4 GBq (200 mCi) IV infusion over 30 minutes; Pre-hydration and antiemetics; Post-infusion: Hydration for 3-4 hours, void frequently to reduce radiation exposure; Radiation safety precautions for 2-7 days; Repeat every 6 weeks x 6 doses total","Post-infusion monitoring: Same-day discharge typical with radiation safety instructions; Blood counts and renal function before each subsequent dose; PSMA-PET and CT imaging after doses 2-4 and at end of treatment; PSA monitoring; Toxicity assessment (myelosuppression, xerostomia, renal); Hold or discontinue if significant toxicity",6 weeks between doses, 36 weeks total treatment,"Medicare Part B, Commercial insurance, Medicaid (varies), Specialty nuclear medicine pharmacy",Yes - Novartis Copay Assistance,No REMS but Radiation Safety training,Yes - authorized nuclear medicine centers only,Outpatient infusion at nuclear medicine facility
